INDEX_,HOUR,DAYOFWEEK,VISIBILITY,LIGHT,RDSFCOND,TEMP,REL_HUMID,LOCCOORD,TRAFFCTL,ROADCLASS,SPEEDLMT,VEH_ADT,PED_ADT,LAND_USE,POP_2021,PRIV_DWELL,LAND_AREA,INVAGE,PEDCOND,PEDACT,VEHINV,VIOL,INJURY
3366652,7,weekday,Other,Dark,Wet,1.5,0.99,Midblock,No Control,Major Arterial,60,498.0,219.0,Mixed Use,504,263,225,45 to 64,Distracted,Crossing without ROW,automobile,speeding,Major
3370334,19,weekday,Rain,Dark,Wet,4.8,1.0,Midblock,Traffic Signal including Transit,Major Arterial,60,351.0,63.0,Residential,452,205,183,Over 65,Normal,Crossing without ROW,automobile,speeding,Major
3363338,22,weekday,Clear,Dark,Dry,-5.8,0.67,Intersection,Traffic Signal including Transit,Major Arterial,60,650.0,50.0,Residential,807,375,322,15 to 29,Distracted,Crossing with ROW,automobile,speeding,Major
3363869,18,weekend,Clear,Dark,Dry,2.4,0.76,Intersection,Pedestrian Crossover,Major Arterial,60,437.0,8.0,Residential,907,315,305,Under 15,Normal,Crossing with ROW,automobile,aggressive driving,Fatal
3363416,14,weekday,Clear,Daylight,Dry,3.5,0.78,Intersection,Traffic Signal including Transit,Major Arterial,60,903.0,43.0,Residential,974,371,364,Over 65,Unknown,Crossing without ROW,automobile,speeding,Fatal
3370697,18,weekday,Clear,Dark,Dry,3.1,0.73,Intersection,Traffic Signal including Transit,Major Arterial,60,563.0,32.0,Residential,474,147,147,45 to 64,Distracted,Crossing without ROW,transit vehicle,speeding,Major
3364471,9,weekend,Strong wind,Daylight,Ice/Slush,-1.1,0.81,Midblock,Pedestrian Crossover,Major Arterial,60,369.0,5.0,Residential,402,148,140,Over 65,Normal,Crossing with ROW,automobile,speeding,Major
3372088,20,weekend,Clear,Dark,Dry,-4.9,0.55,Intersection,No Control,Major Arterial,60,414.0,15.0,Residential,489,255,230,15 to 29,Normal,Crossing with ROW and no control,automobile,speeding,Major
3372030,18,weekend,Clear,Dark,Dry,-9.5,0.62,Midblock,No Control,Major Arterial,60,538.0,33.0,Residential,642,256,249,45 to 64,Medical or Physical Disability,Crossing without ROW,automobile,speeding,Major
3373265,19,weekday,Rain,Dark,Wet,3.0,0.97,Intersection,Traffic Signal including Transit,Major Arterial,60,481.0,18.0,Residential,266,78,72,45 to 64,Normal,Crossing without ROW,automobile,speeding,Major
3372556,22,weekday,Rain,Dark,Wet,3.9,0.99,Intersection,Traffic Signal including Transit,Minor Arterial,60,294.0,19.0,Residential,1147,511,489,45 to 64,Medical or Physical Disability,Crossing with ROW,automobile,aggressive driving,Major
3532604,23,weekday,Rain,Dark,Wet,4.5,0.99,Midblock,No Control,Local,50,11.0,3.0,Residential,451,184,174,30 to 44,Unknown,Other,automobile,speeding,Major
3371160,18,weekend,Clear,Dusk,Dry,0.2,0.67,Intersection,No Control,Major Arterial,60,418.0,6.0,Residential,289,90,87,30 to 44,Normal,Crossing with ROW and no control,automobile,speeding,Major
3371161,18,weekend,Clear,Dusk,Dry,0.2,0.67,Intersection,No Control,Major Arterial,60,418.0,6.0,Residential,289,90,87,45 to 64,Normal,Crossing with ROW and no control,automobile,speeding,Fatal
3367199,2,weekend,Clear,Dark,Dry,-1.9,0.82,Midblock,No Control,Collector,50,112.0,4.0,Parks,724,267,257,15 to 29,Impaired - Alcohol (BAC = Normal),Other,automobile,aggressive driving,Major
3367249,18,weekend,Clear,Dark,Dry,1.7,0.76,Intersection,No Control,Major Arterial,60,272.0,204.0,Mixed Use,2596,2393,1653,Over 65,Normal,Crossing with ROW and no control,automobile,speeding,Major
3368259,7,weekday,Clear,Daylight,Wet,1.2,0.86,Intersection,Other Traffic Control,Collector,50,52.0,16.0,Parks,982,414,385,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Fatal
3373787,20,weekday,Clear,Dark,Dry,3.3,0.73,Intersection,No Control,Major Arterial,60,53.0,43.0,Residential,677,359,331,15 to 29,Normal,Crossing with ROW and no control,automobile,speeding,Major
3370087,20,weekend,Rain,Dark,Wet,5.8,0.99,Midblock,No Control,Expressway,110,723.0,1.0,Unknown,1719,268,255,15 to 29,Unknown,Crossing without ROW,automobile,speeding,Fatal
3378948,21,weekend,Rain,Dark,Wet,7.0,0.99,Intersection,Traffic Signal including Transit,Major Arterial,60,582.0,42.0,Residential,874,568,536,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
3380670,7,weekday,Rain,Daylight,Wet,4.4,0.98,Intersection,Traffic Signal including Transit,Major Arterial,60,483.0,24.0,Residential,637,198,193,15 to 29,Normal,Crossing with ROW,automobile,aggressive driving,Major
3551058,9,weekday,Rain,Daylight,Wet,4.8,0.98,Intersection,Traffic Signal including Transit,Major Arterial,60,957.0,38.0,Commercial,1840,768,737,Over 65,Normal,Crossing without ROW,automobile,aggressive driving,Major
3374272,13,weekday,Clear,Daylight,Dry,-1.6,0.62,Midblock,Pedestrian Crossover,Major Arterial,60,306.0,7.0,Residential,641,262,242,Over 65,Normal,Crossing with ROW,automobile,speeding,Major
3382291,7,weekday,Clear,Daylight,Dry,-7.5,0.74,Intersection,Other Traffic Control,Minor Arterial,60,160.0,26.0,Residential,501,183,175,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
3602930,15,weekday,Clear,Daylight,Dry,-5.7,0.57,Intersection,Traffic Signal including Transit,Major Arterial,60,714.0,17.0,Unknown,45,38,16,Over 65,Normal,Crossing without ROW,automobile,speeding,Major
3376285,9,weekday,Clear,Daylight,Dry,-3.7,0.68,Intersection,Other Traffic Control,Local,50,34.0,5.0,Residential,543,213,203,45 to 64,Normal,Crossing with ROW,automobile,aggressive driving,Major
3376949,9,weekday,Clear,Daylight,Dry,5.4,0.67,Intersection,Other Traffic Control,Local,50,196.0,6.0,Residential,347,141,125,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Fatal
3385084,21,weekday,Rain,Dark,Wet,1.0,0.99,Midblock,No Control,Minor Arterial,60,194.0,32.0,Residential,643,345,301,30 to 44,Impaired - Alcohol (BAC = Normal),Other,automobile,aggressive driving,Major
3388769,15,weekend,Clear,Daylight,Dry,-7.0,0.52,Intersection,Traffic Signal including Transit,Major Arterial,60,376.0,19.0,Residential,716,296,202,15 to 29,Distracted,Crossing without ROW,automobile,speeding,Major
3378690,18,weekday,Clear,Dusk,Dry,-2.8,0.52,Midblock,No Control,Minor Arterial,60,385.0,31.0,Natural areas,1571,427,411,Over 65,Normal,Crossing with ROW and no control,automobile,speeding,Fatal
3382113,18,weekday,Clear,Dark,Dry,-0.7,0.51,Intersection,Other Traffic Control,Major Arterial,60,600.0,9.0,Residential,564,187,179,Over 65,Normal,Crossing with ROW,automobile,aggressive driving,Major
